work_code,l1,l2,l3,task_type,classification_basis,dept,owner,applied_keywords,classification_note,guidelines,related_laws
WORK-CC-312,원가(C),학술용역,연구,검증,"기초,응용과학 관련, 정책(시책) 자문",원가분석본부,하은정 이사,"학술연구, 정책연구, 기본계획, 실태조사, 보고서, 연구백서발간, 중장기계획, 설문조사, 연구, 조사, 분석, 수립, 방안, 실태, 모델, 전략, 진단, 평가, 회계",[예정가격작성기준 제4장]학문적 전문지식을 활용하여 사업의 타당성 등을 분석하는 연구 용역.,,.
WORK-CC-321,원가(C),학술용역,"행사,운영(대행)",산정,"행사, 대행",원가분석본부,하은정 이사,"행사대행, 축제, 이벤트, 전시회, 박람회, 공연기획, 워크숍운영, 무대설치, 홍보, 행사운영, 개막식, 행사, 대행, 운영, 페스티벌, 대회, 워크숍, 기획, 대행사, 사업",[기타 일반용역 계약특수조건] 특정 목적의 행사를 기획하고 운영하는 대행 용역.,,
WORK-CC-322,원가(C),학술용역,"행사,운영(대행)",검증,"행사, 대행",원가분석본부,하은정 이사,"행사대행, 축제, 이벤트, 전시회, 박람회, 공연기획, 워크숍운영, 무대설치, 홍보, 행사운영, 개막식, 행사, 대행, 운영, 페스티벌, 대회, 워크숍, 기획, 대행사, 사업",[기타 일반용역 계약특수조건] 특정 목적의 행사를 기획하고 운영하는 대행 용역.,,
WORK-CC-331,원가(C),일반용역,시설,산정,"시설물 유지관리, 경비",원가분석본부,하은정 이사,"시설관리, 청소, 경비, 위생관리, 방역소독, 저수조청소, 시설물유지관리, 주차관리, 미화, 보안, 위탁, 관리, 운영, 청소, 경비, 시설, 유지, 사무","시설용역이란, 시설물경비용역, 시설물관리용역과 더불어 방역, 부대소각로 운영관리, 위탁운영, 지원업무 및 보조인력 파견 등 인건비 비중이 높은 행정보조, 관리 및 이에 준하는 용역을 말한다","계약일반조건, 입찰유의서, 계약특수조건",
WORK-CC-332,원가(C),일반용역,시설,검증,"시설물 유지관리, 경비",원가분석본부,하은정 이사,"시설관리, 청소, 경비, 위생관리, 방역소독, 저수조청소, 시설물유지관리, 주차관리, 미화, 보안, 위탁, 관리, 운영, 청소, 경비, 시설, 유지, 사무","시설용역이란, 시설물경비용역, 시설물관리용역과 더불어 방역, 부대소각로 운영관리, 위탁운영, 지원업무 및 보조인력 파견 등 인건비 비중이 높은 행정보조, 관리 및 이에 준하는 용역을 말한다","계약일반조건, 입찰유의서, 계약특수조건",
WORK-CC-341,원가(C),일반용역,SW,산정,"기능점수, 투입공수, DB구축",원가분석본부,하은정 이사,"스마트공장, 스마트팜, 스마트, AI, 소프트웨어개발, DB구축, 유지보수(SW), 스마트시티 정보시스템, 홈페이지제작, 웹개발, 기능개선, 마이그레이션, 전산개발, 솔루션도입, 시스템, 유지보수, 고도화, 플랫폼, DB, 웹, 앱, 데이터, 클라우드","[소프트웨어 진흥법 / SW사업 대가산정 가이드정보시스템의 기획, 구축, 운영, 유지관리에 관한 용역.","SW 사업의 하도급 승인 및 관리지침 SW 기술성 평가기준, 정보시스템 운영지침",소프트웨어 산업진흥법
WORK-CC-342,원가(C),일반용역,SW,검증,"기능점수, 투입공수, DB구축",원가분석본부,하은정 이사,"스마트공장, 스마트팜, 스마트, AI, 소프트웨어개발, DB구축, 유지보수(SW), 스마트시티 정보시스템, 홈페이지제작, 웹개발, 기능개선, 마이그레이션, 전산개발, 솔루션도입, 시스템, 유지보수, 고도화, 플랫폼, DB, 웹, 앱, 데이터, 클라우드","[소프트웨어 진흥법 / SW사업 대가산정 가이드정보시스템의 기획, 구축, 운영, 유지관리에 관한 용역.","SW 사업의 하도급 승인 및 관리지침 SW 기술성 평가기준, 정보시스템 운영지침",소프트웨어 산업진흥법
WORK-CC-351,원가(C),일반용역,폐기물처리,산정,청소,원가분석본부,하은정 이사,"폐기물처리, 운반비, 소각비, 매립비, 폐기물용역, 건설폐기물, 석면해체, 오염물 지정폐기물, 중간처리, 수집운반, 폐기물, 처리, 운반, 수집, 소각, 매립, 환경, 슬러지, 협잡물, 폐기","[폐기물관리법 / 건설폐기물 재활용촉진법] 사업장 또는 공사 현장에서 발생하는 폐기물의 수집, 운반, 처리 용역.",,이러닝 콘텐츠 개발 대가기준 가이드라인
WORK-CC-352,원가(C),일반용역,폐기물처리,검증,청소,원가분석본부,하은정 이사,"폐기물처리, 운반비, 소각비, 매립비, 폐기물용역, 건설폐기물, 석면해체, 오염물 지정폐기물, 중간처리, 수집운반, 폐기물, 처리, 운반, 수집, 소각, 매립, 환경, 슬러지, 협잡물, 폐기","[폐기물관리법 / 건설폐기물 재활용촉진법] 사업장 또는 공사 현장에서 발생하는 폐기물의 수집, 운반, 처리 용역.",,이러닝 콘텐츠 개발 대가기준 가이드라인
WORK-CC-361,원가(C),일반용역,육상운송,산정,운송,원가분석본부,하은정 이사,"운송, 차량임차, 셔틀버스, 통학버스, 화물운송, 이사비용, 전세버스, 배차관리, 물류운송, 차량운행, 운송, 운반, 차량, 임차, 버스, 배차, 셔틀, 화물, 이동, 운행",[화물자동차 운수사업법] 사람이나 물건을 차량을 이용해 이동시키는 용역.,,폐기물 관리법
WORK-CC-362,원가(C),일반용역,육상운송,검증,운송,원가분석본부,하은정 이사,"운송, 차량임차, 셔틀버스, 통학버스, 화물운송, 이사비용, 전세버스, 배차관리, 물류운송, 차량운행, 운송, 운반, 차량, 임차, 버스, 배차, 셔틀, 화물, 이동, 운행",[화물자동차 운수사업법] 사람이나 물건을 차량을 이용해 이동시키는 용역.,,폐기물 관리법
WORK-CC-371,원가(C),일반용역,컨텐츠제작,산정,"e-러닝, 콘텐츠 제작",원가분석본부,하은정 이사,"홍보물제작, 디자인 영상제작, 인쇄, 디자인, 콘텐츠, 영상, 제작(영상),",,이러닝 콘텐츠 개발 대가기준 가이드라인,
WORK-CC-372,원가(C),일반용역,컨텐츠제작,검증,"e-러닝, 콘텐츠 제작",원가분석본부,하은정 이사,"홍보물제작, 디자인 영상제작, 인쇄, 디자인, 콘텐츠, 영상, 제작(영상),",,이러닝 콘텐츠 개발 대가기준 가이드라인,
WORK-CC-391,원가(C),일반용역,기타,산정,"방역, 소독, 의료",원가분석본부,하은정 이사,"방역, 소독, 의료",,,
WORK-CC-392,원가(C),일반용역,기타,검증,"방역, 소독, 의료",원가분석본부,하은정 이사,"방역, 소독, 의료",,,
WORK-CD-411,원가(C),기술용역,설계 감리비,산정,,원가분석본부,하은정 이사,"실시설계, 기본설계, 건축설계, 설계용역, 현상설계, 구조계산, 도면작성, 설계공모, 계획설계, , 도면, 디자인(건축), 구조, 계획, 현상공모",[건축사법 / 엔지니어링산업 진흥법] 공사나 제작에 앞서 구조물이나 시스템의 형태와 내용을 결정하는 기술적 작업.,,"건설산업기본법, 엔지니어링상업진흥법"
WORK-CD-412,원가(C),기술용역,설계 감리비,검증,,원가분석본부,하은정 이사,"실시설계, 기본설계, 건축설계, 설계용역, 현상설계, 구조계산, 도면작성, 설계공모, 계획설계, , 도면, 디자인(건축), 구조, 계획, 현상공모",[건축사법 / 엔지니어링산업 진흥법] 공사나 제작에 앞서 구조물이나 시스템의 형태와 내용을 결정하는 기술적 작업.,,"건설산업기본법, 엔지니어링상업진흥법"
WORK-CD-421,원가(C),기술용역,엔지니어링,산정,"엔지니어링 관련 감리, 연구",원가분석본부,하은정 이사,"건설사업관리, CM, 안전진단, 구조안전, 내진성능평가, 감독권한대행, 정밀안전진단, 계측관리, 감독, 대행, 관리, 계측, 점검, 영향평가, 시험","[엔지니어링사업대가의 기준]설계, 감리, 사업관리, 안전진단 등 고도의 기술이 필요한 용역.",,
WORK-CD-422,원가(C),기술용역,엔지니어링,검증,"엔지니어링 관련 감리, 연구",원가분석본부,하은정 이사,"건설사업관리, CM, 안전진단, 구조안전, 내진성능평가, 감독권한대행, 정밀안전진단, 계측관리, 감독, 대행, 관리, 계측, 점검, 영향평가, 시험","[엔지니어링사업대가의 기준]설계, 감리, 사업관리, 안전진단 등 고도의 기술이 필요한 용역.",,
WORK-CD-431,원가(C),기술용역,타당성,산정,,원가분석본부,하은정 이사,"타당성조사(기술), 기술적타당성, 적정성검토, 입지선정, 노선검토, 기술제안, 사전타당성, 투자심사,, 수요예측, 타당성, 적정성, 기술, 검토, 입지, 노선, 사전, 투자, 심사","[건설기술진흥법]주로 건설/토목 사업 시행 전 기술적, 경제적 타당성을 검토하는 용역.",,
WORK-CD-432,원가(C),기술용역,타당성,검증,,원가분석본부,하은정 이사,"타당성조사(기술), 기술적타당성, 적정성검토, 입지선정, 노선검토, 기술제안, 사전타당성, 투자심사,, 수요예측, 타당성, 적정성, 기술, 검토, 입지, 노선, 사전, 투자, 심사","[건설기술진흥법]주로 건설/토목 사업 시행 전 기술적, 경제적 타당성을 검토하는 용역.",,
WORK-CE-501,원가(C),사후정산,,산정,사후원가정산 시행령 73조,원가분석본부,하은정 이사,"사후원가, 정산보고서, 개산급, 사후정산, 사업비정산, 집행잔액, 정산검토, 실발생비용, 비용확정, 정산금, 정산, 사후, 검증, 집행, 잔액, 보고서, 지원금, , 확정",[국가계약법 시행령 제73조] 계약 이행 후 실제 투입된 비용을 근거로 대금을 확정하는 업무.,국고보조금 사용설명서(기획재정부),
WORK-CE-502,원가(C),사후정산,,검증,사후원가정산 시행령 73조,원가분석본부,하은정 이사,"사후원가, 정산보고서, 개산급, 사후정산, 사업비정산, 집행잔액, 정산검토, 실발생비용, 비용확정, 정산금, 정산, 사후, 검증, 집행, 잔액, 보고서, 지원금, , 확정",[국가계약법 시행령 제73조] 계약 이행 후 실제 투입된 비용을 근거로 대금을 확정하는 업무.,국고보조금 사용설명서(기획재정부),
WORK-CF-601,원가(C),각종 수수료,,산정,"주차요금, 사용료 등 산정용역 등",원가분석본부,하은정 이사,"수수료, 대행수수료, 위탁수수료, 요율산정, 사용료, 인허가수수료 면허세, 검사수수료, 관리비수수료, 분담금,, 요율, 미청구, 확인서, 발급, 관리위탁, 사용료",[지방자치법 제139조(사용료)] 특정 업무 대행이나 시설 사용에 대한 대가성 요금 산정.,"각종 징수, 면제 관련 지침",
